m.year,player.id,player.name,m.team_id,m.position_id,m.age,m.av_value,m.year,m.round,m.pick,m.base_salary,m.cap_hit,m.dead_cap
1994,00001283,"Rufus Porter",SEA,OLB,29,7,1994,,,,,
1994,00001242,"Sam Mills",NOR,ILB,35,7,1994,,,,,
1994,19878,"Shane Conlan",LAR,ILB,30,7,1994,1,8,,,
1994,00001253,"Tracy Simien",KAN,ILB,27,7,1994,,,,,
1994,198915,"Andy Heck",CHI,T,27,7,1994,1,15,,,
1994,19918,"Antone Davis",PHI,T,27,7,1994,1,8,,,
1994,1989288,"Bert Weidner",MIA,G,28,7,1994,11,288,,,
1994,199172,"Bob Dahl",CLE,G,26,7,1994,3,72,,,
1994,00001781,"Broderick Thompson",PHI,T,34,7,1994,,,,,
1994,1984231,"Bruce Kozerski",CIN,T,32,7,1994,9,231,,,
1994,19839,"Bruce Matthews",TEN,G,33,7,1994,1,9,,,
1994,1991111,"Clarence Jones",LAR,T,26,7,1994,4,111,,,
1994,198898,"David Richards",ATL,T,28,7,1994,4,98,,,
1994,198326,"Don Mosebar",OAK,C,33,7,1994,1,26,,,
1994,1987168,"Doug Riesenberg",NYG,T,29,7,1994,6,168,,,
1994,1990167,"Dwayne White",NYJ,G,27,7,1994,7,167,,,
1994,1987164,"Ed Simmons",WAS,T,31,7,1994,6,164,,,
1994,1987283,"Howard Ballard",SEA,T,31,7,1994,11,283,,,
1994,1990114,"Ian Beckles",TAM,G,27,7,1994,5,114,,,
1994,00001761,"James Williams",CHI,T,26,7,1994,,,,,
1994,1993197,"Jeff Blackshear",SEA,G,25,7,1994,8,197,,,
1994,1989121,"Jeff Uhlenhake",NOR,C,28,7,1994,5,121,,,
1994,198437,"Jim Sweeney",NYJ,C,32,7,1994,2,37,,,
1994,199364,"Joe Cocozzo",LAC,G,24,7,1994,3,64,,,
1994,1988252,"John Jackson",PIT,T,29,7,1994,10,252,,,
1994,198836,"Jumbo Elliott",NYG,T,29,7,1994,2,36,,,
1994,199211,"Leon Searcy",PIT,T,25,7,1994,1,11,650000,1025000,0
1994,00001834,"Mike Kenn",ATL,T,38,7,1994,,,,,
1994,19884,"Paul Gruber",TAM,T,29,7,1994,1,4,,,
1994,1985290,"Raleigh McKenzie",WAS,G,31,7,1994,11,290,,,
1994,198785,"Randy Dixon",IND,G,29,7,1994,4,85,,,
1994,1986201,"Ray Brown",WAS,G,32,7,1994,8,201,,,
1994,198032,"Ray Donaldson",SEA,C,36,7,1994,2,32,,,
1994,00001808,"Richard Cooper",NOR,T,30,7,1994,,,,,
1994,1988233,"Scott Dill",TAM,T,28,7,1994,9,233,,,
1994,199314,"Steve Everitt",CLE,C,24,7,1994,1,14,,,
1994,1990108,"Tony Mayberry",TAM,C,27,7,1994,4,108,,,
1994,198427,"William Roberts",NYG,G,32,7,1994,1,27,,,
1994,1992166,"Jeff Blake",CIN,QB,24,7,1994,6,166,162000,162000,0
1994,198726,"Jim Harbaugh",IND,QB,31,7,1994,1,26,,,
1994,19932,"Rick Mirer",SEA,QB,24,7,1994,1,2,,,
1994,00002393,"Steve Walsh",CHI,QB,28,7,1994,,,600000,600000,0
1994,199491,"Bam Morris",PIT,RB,22,7,1994,3,91,,,
1994,1993109,"Derek Brown",NOR,RB,23,7,1994,4,109,,,
1994,199434,"Errict Rhett",TAM,RB,24,7,1994,2,34,,,
1994,198993,"Lewis Tillman",CHI,RB,28,7,1994,4,93,,,
1994,198210,"Marcus Allen",KAN,RB,34,7,1994,1,10,1100000,1248333,0
1994,199176,"Ricky Ervins",WAS,RB,26,7,1994,3,76,,,
1994,198616,"Ronnie Harmon",LAC,RB,30,7,1994,1,16,,,
1994,1990241,"Terry Allen",MIN,RB,26,7,1994,9,241,880000,1255000,0
1994,1990241,"Terry Allen",MIN,RB,26,7,1994,9,241,880000,1255000,0
1994,198813,"Keith Jackson",MIA,TE,29,7,1994,1,13,,,
1994,1990133,"Calvin Williams",PHI,WR,27,7,1994,5,133,,,
1994,199097,"Chris Calloway",NYG,WR,26,7,1994,4,97,,,
1994,1989159,"Floyd Turner",IND,WR,28,7,1994,6,159,,,
1994,198676,"John Taylor",SFO,WR,32,7,1994,3,76,,,
1994,198795,"Kelvin Martin",SEA,WR,29,7,1994,4,95,,,
1994,00003215,"Mark Seay",LAC,WR,27,7,1994,,,,,
1994,1991240,"Shawn Jefferson",LAC,WR,25,7,1994,9,240,,,
1994,00003216,"Willie Davis",KAN,WR,27,7,1994,,,,,
1994,199412,"Aaron Glenn",NYJ,CB,22,6,1994,1,12,,,
