year,id,name,position_id,av_value
1994,1994114,"Raymont Harris",RB,5
1994,199349,"Roosevelt Potts",RB,5
1994,199428,"William Floyd",RB,5
1994,199021,"Eric Green",TE,5
1994,198018,"Art Monk",WR,5
1994,199445,"Bert Emanuel",WR,5
1994,198686,"Bill Brooks",WR,5
1994,199417,"Charles Johnson",WR,5
1994,00003231,"Gary Clark",WR,5
1994,198720,"Haywood Jeffires",WR,5
1994,1988216,"J.J. Birden",WR,5
1994,198757,"Mark Carrier",WR,5
1994,201128,"Mark Ingram",WR,5
1994,199325,"O.J. McDuffie",WR,5
1994,199058,"Ricky Proehl",WR,5
1994,00003232,"Ricky Sanders",WR,5
1994,1991100,"Rocket Ismail",WR,5
1994,198643,"Webster Slaughter",WR,5
1994,199190,"Yancey Thigpen",WR,5
1994,000016,"Brent Alexander",CB,4
1994,1991133,"Charles Mincy",S,4
1994,0000100,"Damon Watts",CB,4
1994,1990107,"Dave Whitmore",S,4
1994,1988208,"David Tate",S,4
1994,198115,"Dennis Smith",S,4
1994,199312,"Patrick Bates",S,4
1994,199235,"Rod Smith",CB,4
1994,0000812,"Bernard Whittington",DT,4
1994,199117,"Bobby Wilson",DT,4
1994,1986192,"Brent Williams",DE,4
1994,199450,"Brentson Buckner",DT,4
1994,19854,"Chris Doleman",DE,4
1994,199035,"Dan Owens",DT,4
1994,1988213,"Jeff Wright",DT,4
1994,19904,"Keith McCants",LB,4
1994,1993108,"Kevin Henry",DE,4
1994,199270,"Larry Webster",DT,4
1994,1990186,"Lester Archambeau",DE,4
1994,199259,"Mark Wheeler",DT,4
1994,198839,"Pierce Holt",DT,4
1994,19948,"Sam Adams",DT,4
1994,1992132,"Santana Dotson",DT,4
1994,198981,"Britt Hager",OLB,4
1994,199297,"Dwight Hollier",OLB,4
1994,1990158,"James Williams",OLB,4
1994,19914,"Mike Croel",OLB,4
1994,1993121,"Ron George",OLB,4
1994,199264,"Todd Collins",OLB,4
1994,199253,"Tracy Scroggins",OLB,4
1994,199023,"Bern Brostek",C,4
1994,1993166,"Chris Dalman",G,4
1994,198445,"Doug Dawson",G,4
1994,1990165,"Frank Pollack",T,4
1994,1991121,"Gene Williams",T,4
1994,199232,"Greg Skrepenak",T,4
1994,1991137,"Harry Boatswain",G,4
1994,00001908,"Jamie Dukes",C,4
1994,199179,"Kevin Donnalley",G,4
1994,198216,"Luis Sharpe",T,4
1994,00001775,"Orlando Brown",T,4
1994,1990106,"Rick Cunningham",T,4
1994,00001909,"Russ Freeman",T,4
1994,199268,"Siupeli Malamala",T,4
1994,199415,"Wayne Gandy",T,4
1994,00002225,"Al Del Greco",K,4
1994,1982171,"Gary Anderson",K,4
1994,199370,"Jason Elam",K,4
1994,198782,"Jeff Jaeger",K,4
1994,199198,"John Kasay",K,4
1994,00002248,"Nick Lowery",K,4
1994,00002234,"Norm Johnson",K,4
1994,00002249,"Steve Christie",K,4
1994,1992220,"Bucky Richardson",QB,4
1994,00002407,"Erik Kramer",QB,4
1994,19943,"Heath Shuler",QB,4
1994,198483,"Jay Schroeder",QB,4
1994,1990138,"John Friesz",QB,4
1994,199093,"Scott Mitchell",QB,4
1994,1991214,"Gary Brown",RB,4
1994,199425,"Greg Hill",RB,4
1994,1991187,"James Joseph",RB,4
1994,198641,"Kenneth Davis",RB,4
1994,199444,"Mario Bates",RB,4
1994,1989183,"Marion Butts",RB,4
1994,199387,"Ronald Moore",RB,4
1994,199020,"Steve Broussard",RB,4
1994,00002975,"Ed West",TE,4
1994,198275,"Pete Metzelaars",TE,4
1994,199337,"Tony McGee",TE,4
1994,198956,"Wesley Walls",TE,4
1994,1991134,"Anthony Morgan",WR,4
1994,00003245,"Aubrey Matthews",WR,4
1994,1992305,"Cedric Tillman",WR,4
1994,199244,"Courtney Hawkins",WR,4
1994,198634,"Ernest Givins",WR,4
1994,199492,"Lake Dawson",WR,4
1994,1992292,"Nate Singleton",WR,4
1994,199123,"Randal Hill",WR,4
1994,198361,"Albert Lewis",S,3
1994,1983186,"Carl Lee",CB,3
1994,1993178,"Darnell Walker",CB,3
1994,1992128,"Derrick Hoskins",S,3
