"year","player","url","position","college","height","weight","dash","vert_leap","bench","broad","cone","shuttle"
"2000","Peter Sirmon","/players/S/SirmPe20.htm","ILB","Oregon","74","246","4.84","34.5","20","115","7.21","4.27"
"2000","Mark Simoneau","/players/S/SimoMa20.htm","OLB","Kansas State","72","237","4.60","36.0","24","117","7.08","4.09"
"2000","Brandon Short","/players/S/ShorBr20.htm","ILB","Penn State","75","252","4.72","0","0","0","0","0"
"2000","Wes Shivers","/players/S/ShivWe20.htm","OT","Mississippi State","77","318","5.65","22.5","18","98","8.48","4.81"
"2000","Jacoby Shepherd","/players/S/ShepJa20.htm","CB","Oklahoma State","73","195","4.53","35.0","5","120","0","0"
"2000","Tony Scott","/players/S/ScotTo21.htm","CB","North Carolina State","70","193","4.50","34.0","11","116","7.45","4.24"
"2000","Sekou Sanyika","/players/S/SanySe20.htm","OLB","California","75","241","4.75","32.5","0","111","7.33","4.38"
"2000","Lewis Sanders","/players/S/SandLe20.htm","CB","Maryland","72","202","4.50","37.0","10","116","0","0"
"2000","Chris Samuels","/players/S/SamuCh00.htm","OT","Alabama","77","325","5.08","0","0","0","0","0"
"2000","Mark Roman","/players/R/RomaMa20.htm","CB","LSU","71","188","4.55","0","0","0","0","0"
"2000","Tutan Reyes","/players/R/ReyeTu20.htm","OT","Mississippi","75","299","5.37","26.5","20","99","7.49","4.88"
"2000","Greg Randall","/players/R/RandGr20.htm","OT","Michigan State","78","333","5.59","26.0","22","95","8.15","5.13"
"2000","Kaulana Noa","","OT","Hawaii","76","317","5.34","25.5","27","98","7.82","4.74"
"2000","Hank Poteat","/players/P/PoteHa20.htm","CB","Pittsburgh","70","197","4.57","37.0","16","126","6.66","4.00"
"2000","DaShon Polk","/players/P/PolkDa20.htm","OLB","Arizona","74","233","4.75","32.0","18","111","7.43","4.45"
"2000","Ahmed Plummer","/players/P/PlumAh20.htm","CB","Ohio State","71","191","4.43","0","0","0","0","0"
"2000","Jason Gavadza","","TE","Kent State","75","249","4.62","32.5","22","113","7.15","4.30"
"2000","John Frank","","DE","Utah","76","280","4.78","37.0","32","117","7.07","4.27"
"2000","Julian Peterson","/players/P/PeteJu00.htm","OLB","Michigan State","77","231","4.68","0","0","0","0","0"
"2000","Deltha O'Neal","/players/O/ONeaDe00.htm","CB","California","71","193","4.60","0","0","0","0","0"
"2000","Andre O'Neal","/players/O/ONeaAn20.htm","ILB","Marshall","73","235","4.72","34.0","16","114","7.30","4.24"
"2000","Adewale Ogunleye","/players/O/OgunAd00.htm","DE","Indiana","76","253","0","0","0","0","0","0"
"2000","Bobby Myers","/players/M/MyerBo21.htm","FS","Wisconsin","73","183","4.56","37.5","0","123","7.04","4.10"
"2000","Rob Morris","/players/M/MorrRo20.htm","ILB","BYU","74","250","4.77","33.0","18","113","6.93","4.17"
"2000","Corey Moore","/players/M/MoorCo20.htm","OLB","Virginia Tech","71","223","4.60","0","21","0","0","0"
"2000","Michael Boireau","","DE","Miami (FL)","76","274","5.09","29.0","26","105","7.68","4.49"
"2000","Keith Miller","/players/M/MillKe20.htm","ILB","California","73","246","4.97","27.5","24","110","7.37","4.43"
"2000","Jeff Harris","","CB","Georgia","72","190","4.53","34.5","0","114","6.73","4.25"
"2000","Rob Meier","/players/M/MeieRo20.htm","DE","Washington State","77","284","4.99","30.5","27","113","7.49","4.52"
"2000","Damion McIntosh","/players/M/McInDa20.htm","OT","Kansas State","76","328","5.31","26.0","23","97","7.72","4.71"
"2000","Chris McIntosh","/players/M/McInCh20.htm","OT","Wisconsin","78","315","5.39","0","28","0","0","0"
"2000","Stockar McDougle","/players/M/McDoSt20.htm","OT","Oklahoma","77","361","5.50","0","24","0","0","0"
"2000","Anthony Malbrough","/players/M/MalbAn20.htm","CB","Texas Tech","69","184","4.44","35.5","20","117","6.73","4.00"
"2000","David Macklin","/players/M/MackDa20.htm","CB","Penn State","69","194","4.54","37.5","0","120","6.90","4.09"
"2000","Dustin Lyman","/players/L/LymaDu00.htm","ILB","Wake Forest","76","259","4.70","35.0","22","118","6.86","4.06"
"2000","Shane Lechler","/players/L/LechSh20.htm","P","Texas A&M","74","234","0","0","0","0","0","0"
